,Longitude,Latitude,Slope,Aspect,DEM,Sum PDD,Accumulated Snow,Accumulate Precipitation,Average Temperature,SWE
0,-105.93333333409701,39.65000000041001,14.682252883911133,140.44720458984375,3469.75732421875,282.6600149050355,503.29301965236664,619.6290239989758,-3.6667791924052193,0.13545629382133484
1,-105.92500000076402,39.65000000041001,13.593361854553223,184.10977172851562,3422.47412109375,305.2100145891309,485.1070209443569,621.0870248377323,-3.341374687124951,0.13099928200244904
2,-105.91666666743102,39.65000000041001,18.5356502532959,216.61563110351562,3499.913818359375,250.4190108180046,527.8510229289532,628.7530268132687,-4.125921566150943,0.241939976811409
3,-105.90833333409802,39.65000000041001,15.76471996307373,192.01502990722656,3604.72119140625,180.96900814771652,564.2240247130394,637.690027743578,-5.424528341279941,0.2745582163333893
4,-105.87500000076601,39.65000000041001,13.770981788635254,183.7393341064453,3536.829833984375,235.0890102982521,595.6190262138844,703.6410297751427,-4.336408461548723,0.16311530768871307
5,-105.93333333409701,39.641666667077004,14.297952651977539,138.321533203125,3424.636962890625,276.8100152462721,449.4330205321312,550.2750237584114,-3.7089514764102547,0.07008043676614761
6,-105.92500000076402,39.641666667077004,12.24441909790039,169.08140563964844,3351.984130859375,339.5200156569481,404.60101729631424,538.5080236494541,-2.7815731684311054,0.052282776683568954
7,-105.91666666743102,39.641666667077004,18.647659301757812,205.17799377441406,3396.5048828125,268.2680132240057,437.9860166311264,537.0170203745365,-3.858621909963281,0.1243368610739708
8,-105.90833333409802,39.641666667077004,20.280170440673828,187.3953094482422,3475.957763671875,239.69901029020548,458.629018753767,542.1300216317177,-4.274307308013966,0.12857331335544586
9,-105.90000000076502,39.641666667077004,19.53111457824707,168.48690795898438,3426.823486328125,288.1700139120221,442.0400182902813,553.7440220713615,-3.5080863131621802,0.0739227905869484
10,-105.89166666743202,39.641666667077004,16.611814498901367,190.5314178466797,3390.36474609375,294.170014180243,442.8350207209587,574.2070270180702,-3.3750937980414832,0.11213848739862442
11,-105.88333333409902,39.641666667077004,14.350321769714355,214.83309936523438,3399.794921875,307.2390159172937,464.9470171034336,611.9250228404999,-3.114412135137629,0.14415906369686127
12,-105.87500000076601,39.641666667077004,9.104207992553711,234.74888610839844,3443.3837890625,304.6390156894922,515.7990190684795,666.7750254571438,-3.119812892097631,0.2195260375738144
13,-105.86666666743301,39.641666667077004,14.514595985412598,277.59454345703125,3486.83203125,295.91001518815756,565.1900217831135,725.3260286450386,-3.3207080098852684,0.3311728239059448
14,-105.95833333409601,39.633333333744005,23.26715087890625,183.02545166015625,3401.497802734375,285.26901449635625,429.1980164051056,529.067020714283,-3.5720525993808603,0.1042947918176651
15,-105.95000000076301,39.633333333744005,21.404380798339844,175.5699920654297,3400.791748046875,284.5080127026886,417.1560182571411,521.8290222883224,-3.581996426785065,0.09311879426240921
16,-105.94166666743001,39.633333333744005,19.061838150024414,164.53146362304688,3378.3671875,307.4990149140358,385.8460167348385,505.525020390749,-3.294236091945725,0.04460105672478676
17,-105.93333333409701,39.633333333744005,17.430675506591797,154.6305694580078,3339.150634765625,309.4990142956376,369.5960142314434,487.27501875162125,-3.2698128939735307,0.02091378904879093
18,-105.92500000076402,39.633333333744005,16.115562438964844,162.6226806640625,3279.747314453125,338.44001368433237,348.6570110321045,472.2330159544945,-2.821011379263486,0.008824864402413368
19,-105.91666666743102,39.633333333744005,17.619850158691406,192.66648864746094,3250.378173828125,333.3300166577101,341.01301565766335,463.5940205156803,-2.7922098662857704,0.02292335033416748
20,-105.90833333409802,39.633333333744005,17.981943130493164,200.02401733398438,3294.5673828125,313.59001561254263,343.3870142996311,465.8540197312832,-3.144531989218981,0.03209589049220085
21,-105.90000000076502,39.633333333744005,12.593212127685547,202.05618286132812,3285.11083984375,328.74001493118703,357.12701362371445,484.5870187282562,-2.854865286715524,0.02004188485443592
22,-105.89166666743202,39.633333333744005,8.993557929992676,255.1546173095703,3296.993896484375,334.8300164267421,386.7950150370598,521.2890197336674,-2.7263671714212565,0.09632464498281479
23,-105.88333333409902,39.633333333744005,15.924710273742676,300.25726318359375,3393.859130859375,309.64701338112354,437.8370189964771,579.7050258219242,-3.1134196303310464,0.26199302077293396
24,-105.87500000076601,39.633333333744005,17.683061599731445,319.4048767089844,3522.3125,235.11901059746742,549.3960219919682,651.6460257470608,-4.2725807354412275,0.4161250591278076
25,-105.86666666743301,39.633333333744005,18.271371841430664,315.3022766113281,3587.449462890625,248.98001098632812,606.0100261569023,719.67703089118,-4.05471556139796,0.5367183089256287
26,-105.85833333410001,39.633333333744005,13.801048278808594,283.2153015136719,3712.21484375,153.19000704586506,685.2540284395218,768.6860319674015,-5.8443073798319825,0.6523937582969666
27,-105.85000000076701,39.633333333744005,7.220127105712891,160.46844482421875,3759.654541015625,138.0900064855814,722.6730280220509,796.1380308270454,-6.099831761366754,0.5188528895378113
28,-105.84166666743401,39.633333333744005,15.021549224853516,166.9674835205078,3669.023681640625,228.41001015901566,691.8340296447277,808.4380348026752,-4.389359763024675,0.3550807535648346
29,-106.03333333409302,39.625000000411006,10.902909278869629,236.44143676757812,2794.945068359375,430.01002023369074,198.87200781702995,372.40901431441307,-2.054419595217995,0.0
30,-106.02500000076002,39.625000000411006,19.83513069152832,228.12380981445312,2887.941650390625,415.38901776075363,211.33200779557228,390.72201630473137,-1.959442053087865,0.0
31,-106.01666666742702,39.625000000411006,24.9456844329834,217.68453979492188,3017.600341796875,391.19802062772214,240.17700996994972,418.40001556277275,-2.123966395261973,0.0
