,Longitude,Latitude,Slope,Aspect,DEM,Sum PDD,Accumulated Snow,Accumulate Precipitation,Average Temperature,SWE
0,-107.00000000072102,39.016666667102,16.904621124267578,173.2230682373047,3316.6865234375,250.79001103714108,919.3130334615707,1213.8610447347164,-2.997189883996729,0.5147883892059326
1,-106.99166666738802,39.016666667102,16.67821502685547,233.02249145507812,3381.805908203125,174.5300089418888,986.4450529515743,1240.1620670855045,-4.3943440903552435,0.6676225066184998
2,-106.98333333405502,39.016666667102,17.30422592163086,259.50738525390625,3509.637451171875,149.580007776618,1094.2650474905968,1296.4260555505753,-4.885292726484212,0.964084267616272
3,-107.00833333405402,39.008333333769,22.475709915161133,159.4495086669922,3297.232666015625,213.80001000594348,884.8270322680473,1130.1840404570103,-3.621415177577363,0.4298643469810486
4,-107.00000000072102,39.008333333769,13.829339981079102,193.6563720703125,3242.16796875,264.69001376628876,849.172036409378,1140.1040499210358,-2.6637155296715354,0.30051419138908386
5,-106.99166666738802,39.008333333769,20.042991638183594,251.40122985839844,3343.210205078125,208.37900912761688,931.0540388226509,1183.2410498857498,-3.8115021613547984,0.5023254752159119
6,-106.98333333405502,39.008333333769,22.55576515197754,266.10784912109375,3528.5439453125,133.26000601798296,1066.970042616129,1256.098049491644,-5.172640552320941,0.8001955151557922
7,-107.03333333405301,39.000000000436,20.629802703857422,79.3309097290039,3339.80029296875,206.26000747084618,903.5190387964249,1148.8250504434109,-3.7614586914598704,0.8281658887863159
8,-107.02500000072001,39.000000000436,16.97182273864746,126.59361267089844,3177.310791015625,262.94001331180334,812.4460393190384,1106.4850524365902,-2.7625218661936377,0.3057056665420532
9,-107.01666666738701,39.000000000436,19.912546157836914,156.24217224121094,3135.203369140625,256.0000114031136,803.1310390233994,1065.1770477890968,-2.9016523168904507,0.17025576531887054
10,-107.00833333405402,39.000000000436,17.841506958007812,175.75479125976562,3134.2724609375,263.6800113543868,776.5700346827507,1046.2040484845638,-2.707624643996888,0.12241309136152267
11,-107.00000000072102,39.000000000436,16.11448097229004,219.112060546875,3168.111328125,263.2300116624683,792.1460338234901,1065.8190468549728,-2.762213586619779,0.18232391774654388
12,-106.99166666738802,39.000000000436,23.818763732910156,252.51548767089844,3291.651611328125,223.99801053106785,878.5670356750488,1123.4150456488132,-3.4956918497801768,0.4239898920059204
13,-106.98333333405502,39.000000000436,26.24442481994629,259.992431640625,3481.032470703125,138.81000722758472,1023.4790412783623,1206.1450478434563,-5.147352018500329,0.6914368271827698
14,-106.95000000072301,39.000000000436,21.949636459350586,137.84414672851562,3533.7060546875,169.51000806689262,1075.678046733141,1285.678055524826,-4.585494294144183,0.9949383735656738
15,-107.02500000072001,38.991666667103004,21.083194732666016,71.7656478881836,3218.056884765625,259.7700109630823,799.8410356044769,1068.246044844389,-2.7883796068755062,0.5390221476554871
16,-107.01666666738701,38.991666667103004,12.63435173034668,86.51929473876953,3083.333984375,275.0400132536888,732.9420300722122,1008.2850379049778,-2.796553491279777,0.23843888938426971
17,-107.00833333405402,38.991666667103004,8.036892890930176,153.70164489746094,3031.08203125,274.90901327878237,707.270026743412,979.9200347661972,-3.0424112220232193,0.05496349185705185
18,-107.00000000072102,38.991666667103004,15.4654541015625,234.0266876220703,3085.96337890625,260.9790117293596,752.4480322897434,1000.3940432667732,-2.882454680742718,0.126783087849617
19,-106.99166666738802,38.991666667103004,26.899234771728516,251.8376007080078,3250.419677734375,234.810012165457,827.3440315723419,1059.9070417582989,-3.277751143914997,0.3450005352497101
20,-106.98333333405502,38.991666667103004,28.50335121154785,257.0310363769531,3466.3427734375,154.6490080654621,960.6260426938534,1141.326051414013,-4.895498238562831,0.6603488922119141
21,-106.975000000722,38.991666667103004,20.12318992614746,240.26840209960938,3642.55029296875,114.97900451719761,1072.6510508358479,1206.0690555274487,-5.412925161509646,0.9321610927581787
22,-106.966666667389,38.991666667103004,16.376373291015625,167.17018127441406,3715.549560546875,83.35000479221344,1130.9490464925766,1240.8710521161556,-6.214814531782517,0.9583509564399719
23,-106.95833333405601,38.991666667103004,26.76759147644043,136.4410400390625,3592.622802734375,114.10000567138195,1107.042052179575,1247.105057477951,-5.460114885949835,0.7949423789978027
24,-106.95000000072301,38.991666667103004,17.986753463745117,158.5802764892578,3416.37060546875,192.90000949800014,979.4080443680286,1243.4910530745983,-4.005019951037503,0.5634613633155823
25,-106.94166666739001,38.991666667103004,13.337666511535645,262.3974304199219,3413.17822265625,210.98001101613045,973.8860433101654,1251.918057590723,-3.6341819980811225,0.5549592971801758
26,-106.93333333405701,38.991666667103004,20.32054901123047,299.0033264160156,3583.222412109375,119.79000539612025,1126.498050481081,1285.2220590412617,-5.232715646316676,0.8972824215888977
27,-106.866666667393,38.991666667103004,19.147218704223633,160.6268310546875,3693.4794921875,129.9600052908063,1078.6200453937054,1233.9480504393578,-5.039636610491797,0.9695168137550354
28,-107.03333333405301,38.983333333770005,18.44038963317871,99.52776336669922,3438.461669921875,140.35000709444284,974.2520407140255,1107.306044638157,-4.9389646634562565,0.9141390323638916
29,-107.02500000072001,38.983333333770005,18.637107849121094,70.91317749023438,3301.52880859375,206.25000968575478,828.7630304098129,1044.1640380620956,-3.862213607148632,0.6650019288063049
30,-107.01666666738701,38.983333333770005,18.283388137817383,55.12825012207031,3172.5068359375,282.1900146305561,722.6610291004181,978.4210383296013,-2.4383756019314937,0.3837484121322632
31,-107.00833333405402,38.983333333770005,12.782134056091309,73.93604278564453,3047.564453125,274.73001255840063,680.3130249679089,941.4700376689434,-3.097059427778947,0.12123524397611618
